n
"(:User {password: password1,max_bench: 100,progams_completed: 1,trainings_completed: 9,max_deadlift: 170,max_squat: 140,create_date: 2024-12-31,sets_completed: 21,email: user1@email.com,total_tonnage: 20000,status: active,username: user1})"
"(:User {password: password2,max_bench: 125,progams_completed: 0,trainings_completed: 1,max_deadlift: 210,max_squat: 170,create_date: 2025-05-01,sets_completed: 12,email: user2@email.com,total_tonnage: 20000,status: active,username: user2})"
"(:User {password: password3,max_bench: 60,progams_completed: 0,trainings_completed: 0,max_deadlift: 100,max_squat: 90,create_date: 2025-05-27,sets_completed: 0,email: user3@email.com,total_tonnage: 0,status: inactive,username: user3})"
"(:TrainingProgram {amount_of_sleep: 9,was_tracking_nutrition: true,was_tracking_sleep: true,training_method: Texas Method,personal_evaluation: 10,username: user1})"
"(:TrainingProgram {amount_of_sleep: 0,was_tracking_nutrition: false,was_tracking_sleep: false,training_method: Condense Conjugate,personal_evaluation: 0,username: user2})"
"(:Exercise {description: Squat performed in a bilateral stance, with a barbell placed in a high-bar or a low-bar position, performed to a competition required depth,category: Global,exercise_name: Back Squat,target_muscle_groups: [Upper back, Lower back, Glutes, Adductors, Abdominals, Hamstrings, Quadriceps, Calves],movement_patterns: [Extension, Anti-Flexion, Anti-Extension, Squat]})"
"(:Exercise {description: Pressing in the laying position on a flat bench, performed to a competition standards,category: Global,exercise_name: Bench Press,target_muscle_groups: [Triceps, Shoulders, Pectorals, Forearms, Upper Back, Lats, Lower Back, Glutes],movement_patterns: [Anti-Flexion, Extension, Horizontal Push]})"
"(:Exercise {description: Performed in a conventional or a sumo stance, every repetition must be initiated off the ground from a dead-stop,category: Global,exercise_name: Deadlift,target_muscle_groups: [Forearms, Neck, Upper back, Lats, Lower back, Glutes, Adductors, Abdominals, Hamstrings, Quadriceps, Calves],movement_patterns: [Extension, Anti-Flexion, Hip Hinge]})"
"(:Exercise {description: Performed with a barbell placed on shoulders in front of the neck, in a front rack position, performed to a full depth,category: Global,exercise_name: Front Squat,target_muscle_groups: [Shoulders, Forearms, Upper back, Lower back, Glutes, Adductors, Abdominals, Hamstrings, Quadriceps, Calves],movement_patterns: [Extension, Anti-Flexion, Anti-Extension, Squat]})"
"(:Exercise {description: Performed in a standing position strict overhead press,category: Compound,exercise_name: Overhead Press,target_muscle_groups: [Triceps, Shoulders, Neck, Forearms, Upper Back, Lower Back, Glutes, Abdominals],movement_patterns: [Anti-Flexion, Anti-Extension, Extension, Vertical Push]})"
"(:Exercise {description: Pull-up performed conventionally with a overhand grip, the bar must reach the neck and sternum area at the top of the repetition,category: Compound,exercise_name: Pull-up,target_muscle_groups: [Biceps, Shoulders, Forearms, Upper back, Lats, Abdominals],movement_patterns: [Flexion, Vertical Pull]})"
"(:TrainingDay {week_number: 1,day: Monday})"
"(:TrainingDay {week_number: 1,day: Wednesday})"
"(:TrainingDay {week_number: 1,day: Friday})"
"(:TrainingDay {week_number: 2,day: Monday})"
"(:TrainingDay {week_number: 2,day: Wednesday})"
"(:TrainingDay {week_number: 2,day: Friday})"
"(:TrainingDay {week_number: 3,day: Monday})"
"(:TrainingDay {week_number: 3,day: Wednesday})"
"(:TrainingDay {week_number: 3,day: Friday})"
"(:TrainingDay {week_number: 1,day: Tuesday})"
"(:ExecutedSets {used_weight: 125,executed_repetitions: 3,set_number: 1})"
"(:ExecutedSets {used_weight: 125,executed_repetitions: 3,set_number: 2})"
"(:ExecutedSets {used_weight: 125,executed_repetitions: 3,set_number: 3})"
"(:ExecutedSets {used_weight: 85,executed_repetitions: 3,set_number: 1})"
"(:ExecutedSets {used_weight: 85,executed_repetitions: 3,set_number: 2})"
"(:ExecutedSets {used_weight: 85,executed_repetitions: 2,set_number: 3})"
"(:ExecutedSets {used_weight: 155,executed_repetitions: 3,set_number: 1})"
"(:ExecutedSets {used_weight: 155,executed_repetitions: 2,set_number: 2})"
"(:ExecutedSets {used_weight: 155,executed_repetitions: 3,set_number: 3})"
"(:ExecutedSets {used_weight: 135,executed_repetitions: 2,set_number: 1})"
"(:ExecutedSets {used_weight: 135,executed_repetitions: 2,set_number: 2})"
"(:ExecutedSets {used_weight: 135,executed_repetitions: 1,set_number: 3})"
"(:ExecutedSets {used_weight: 95,executed_repetitions: 2,set_number: 1})"
"(:ExecutedSets {used_weight: 95,executed_repetitions: 2,set_number: 2})"
"(:ExecutedSets {used_weight: 95,executed_repetitions: 2,set_number: 3})"
"(:ExecutedSets {used_weight: 165,executed_repetitions: 1,set_number: 1})"
"(:ExecutedSets {used_weight: 165,executed_repetitions: 2,set_number: 2})"
"(:ExecutedSets {used_weight: 165,executed_repetitions: 2,set_number: 3})"
"(:ExecutedSets {used_weight: 145,executed_repetitions: 1,set_number: 1})"
"(:ExecutedSets {used_weight: 110,executed_repetitions: 1,set_number: 1})"
"(:ExecutedSets {used_weight: 175,executed_repetitions: 1,set_number: 1})"
"(:ExecutedSets {used_weight: 120,executed_repetitions: 1,set_number: 1})"
"(:ExecutedSets {used_weight: 120,executed_repetitions: 1,set_number: 2})"
"(:ExecutedSets {used_weight: 120,executed_repetitions: 1,set_number: 3})"
"(:ExecutedSets {used_weight: 90,executed_repetitions: 3,set_number: 1})"
"(:ExecutedSets {used_weight: 90,executed_repetitions: 3,set_number: 2})"
"(:ExecutedSets {used_weight: 90,executed_repetitions: 2,set_number: 3})"
"(:ExecutedSets {used_weight: 20,executed_repetitions: 5,set_number: 1})"
"(:ExecutedSets {used_weight: 20,executed_repetitions: 3,set_number: 2})"
"(:ExecutedSets {used_weight: 20,executed_repetitions: 4,set_number: 3})"
"(:ExecutedSets {used_weight: 165,executed_repetitions: 2,set_number: 1})"
"(:ExecutedSets {used_weight: 160,executed_repetitions: 3,set_number: 2})"
"(:ExecutedSets {used_weight: 160,executed_repetitions: 3,set_number: 3})"
